ID,closeness_centrality,betweenness_centrality,group,label
"Rubio-Sanchez, M.",26831,1,0,3
"Raya, L.",27696,0,0,3
"Diaz, F.",27696,0,0,3
"Sanchez, A.",24775,1707,0,3
"Setlur, V.",22511,1257,0,23
"Stone, M.C.",27769,1,0,23
"Jansen, Y.",24535,17,0,118
"Hornbaek, K.",24325,37,0,118
"Simonetto, P.",21036,3616,0,9
"Archambault, D.",19246,1155,0,9
"Scheidegger, C.",16959,5062,0,9
"Byrne, L.",27389,2,0,34
"Angus, D.",27389,1,0,34
"Wiles, J.",27389,0,0,34
"Yalcin, M.A.",16157,76,0,34
"Elmqvist, N.",14260,124449,0,34
"Bederson, B.B.",15192,0,0,34
"Yong Wang",19711,0,0,9
"Qiaomu Shen",19711,0,0,9
"Zhiguang Zhou",19711,0,0,9
"Min Zhu",19711,0,0,9
"Sixiao Yang",17938,1,0,9
"Huamin Qu",16125,74998,0,9
"Anand, A.",17148,4783,0,34
"Talbot, J.",20577,1,0,34
"Borkin, M.A.",21466,6,0,31
"Bylinskii, Z.",21466,1,0,31
"Nam Wook Kim",21466,0,0,31
"Bainbridge, C.M.",21466,0,0,31
"Yeh, C.S.",21466,0,0,31
"Borkin, D.",21466,0,0,31
"Pfister, H.",16042,42122,0,31
"Oliva, A.",21466,0,0,31
"Kay, M.",17905,0,0,34
"Heer, J.",13777,211891,0,34
"Johansson, J.",30771,1,0,80
"Forsell, C.",24480,235,0,80
"Strobelt, H.",17304,1,0,34
"Oelke, D.",20783,0,0,34
"Bum Chul Kwon",18290,12232,0,34
"Schreck, T.",20457,782,0,34
"Yoghourdjian, V.",23182,2,0,42
"Dwyer, T.",21786,1372,0,42
"Gange, G.",23182,0,0,42
"Kieffer, S.",21786,1,0,42
"Klein, K.",23182,0,0,42
"Marriott, K.",21786,0,0,42
"Wybrow, M.",27282,0,0,42
"Sukwon Lee",21382,0,0,34
"Sung-Hee Kim",19220,1809,0,34
"Ya-Hsin Hung",22128,0,0,34
"Lam, H.",22128,0,0,34
"Youn-ah Kang",22128,0,0,34
"Ji Soo Yi",19220,1,0,34
"Ottley, A.",18890,0,0,9
"Peck, E.M.",18890,0,0,9
"Harrison, L.T.",18890,0,0,9
"Afergan, D.",18890,0,0,9
"Ziemkiewicz, C.",15840,2592,0,9
"Taylor, H.A.",18890,0,0,9
"Han, P.K.J.",18890,0,0,9
"Chang, R.",15638,13878,0,9
"Brehmer, M.",19410,1,0,65
"Ng, J.",22061,0,0,65
"Tate, K.",22061,0,0,65
"Munzner, T.",18648,6058,0,65
"Albo, Y.",24255,0,0,9
"Lanir, J.",21567,11,0,9
"Bak, P.",21567,1,0,9
"Rafaeli, S.",21567,0,0,9
"Lehmann, D.J.",31433,0,0,71
"Theisel, H.",24559,3879,0,9
"Raidou, R.G.",25545,2,0,76
"Eisemann, M.",25545,1,0,76
"Breeuwer, M.",25545,0,0,76
"Eisemann, E.",22652,122,0,76
"Vilanova, A.",20067,8517,0,76
"McCurdy, N.",19578,0,0,80
"Lein, J.",19578,0,0,80
"Coles, K.",19578,0,0,80
"Meyer, M.",14803,82762,0,34
"Stahnke, J.",23174,3,0,34
"Dörk, M.",23174,1,0,34
"Müller, B.",23174,0,0,34
"Thom, A.",23174,0,0,34
"Satyanarayan, A.",17791,0,0,34
"Russell, R.",17791,0,0,34
"Hoffswell, J.",17791,0,0,34
"Cohé, A.",23068,4,0,34
"Liutkus, B.",23068,1,0,34
"Bailly, G.",23068,0,0,34
"Eagan, J.",23068,0,0,34
"Lecolinet, E.",23068,0,0,34
"Roberts, J.C.",24316,2,0,34
"Headleand, C.",24316,1,0,34
"Ritsos, P.D.",24316,0,0,34
"VanderPlas, S.",32417,1,0,599
