ID,closeness_centrality,betweenness_centrality,group,label
10.1109/TVCG.2015.2467324,3120,327,0,5
10.1109/TVCG.2015.2467471,3793,0,0,5
10.1109/TVCG.2015.2467951,3405,33,0,5
10.1109/TVCG.2015.2467992,4167,0,0,193
10.1109/TVCG.2015.2467321,3359,0,0,174
10.1109/TVCG.2015.2467051,1958,15173,0,5
10.1109/TVCG.2015.2467691,2595,174,0,174
10.1109/TVCG.2015.2467323,4612,2,0,37
10.1109/TVCG.2015.2467732,3290,0,0,174
10.1109/TVCG.2015.2467671,2536,0,0,174
10.1109/TVCG.2015.2466992,2919,40,0,91
10.1109/TVCG.2015.2467759,3406,15,0,179
10.1109/TVCG.2015.2467251,3302,401,0,22
10.1109/TVCG.2015.2467451,3696,1,0,22
10.1109/TVCG.2015.2467195,2946,354,0,174
10.1109/TVCG.2015.2467758,2440,2,0,174
10.1109/TVCG.2015.2466971,2863,9,0,185
10.1109/TVCG.2015.2467322,2592,219,0,174
10.1109/TVCG.2015.2467132,3136,0,0,5
10.1109/TVCG.2015.2467872,3607,2,0,91
10.1109/TVCG.2015.2467811,3000,3,0,164
10.1109/TVCG.2015.2467717,3384,8,0,22
10.1109/TVCG.2015.2467091,2368,1265,0,174
10.1109/TVCG.2015.2467035,3353,34,0,165
10.1109/TVCG.2015.2467271,2426,1,0,164
10.1109/TVCG.2015.2469125,4211,17,0,193
10.1109/TVCG.2015.2467452,3722,0,0,5
10.1109/TVCG.2015.2467201,3215,3,0,174
10.1109/TVCG.2015.2467851,3664,19,0,165
10.1109/TVCG.2015.2467751,2930,383,0,174
10.1109/TVCG.2015.2467325,2769,0,0,174
10.1109/TVCG.2015.2467911,2704,1,0,179
10.1109/TVCG.2015.2467752,2660,701,0,164
10.1109/TVCG.2015.2467831,3893,3,0,5
10.1109/TVCG.2015.2467112,2680,30,0,174
10.1109/TVCG.2015.2467199,3489,49,0,87
10.1109/TVCG.2015.2467754,2828,0,0,164
10.1109/TVCG.2015.2467191,2499,466,0,174
10.1109/SciVis.2015.7429504,3138,0,0,174
10.1109/SciVis.2015.7429510,4851,13,0,80
10.1109/SciVis.2015.7429485,3785,0,0,5
10.1109/SciVis.2015.7429511,2857,0,0,164
10.1109/SciVis.2015.7429488,2890,14,0,91
10.1109/TVCG.2015.2467198,3214,123,0,174
10.1109/TVCG.2015.2467412,3224,0,0,164
10.1109/SciVis.2015.7429507,3018,0,0,164
10.1109/TVCG.2015.2467434,2708,4,0,174
10.1109/TVCG.2015.2467963,3925,0,0,68
10.1109/TVCG.2015.2467431,3692,37,0,86
10.1109/SciVis.2015.7429493,5709,0,0,5
10.1109/SciVis.2015.7429509,3082,16,0,164
10.1109/TVCG.2015.2467202,3362,83,0,174
10.1109/TVCG.2015.2467203,3511,13,0,74
10.1109/SciVis.2015.7429502,3651,0,0,87
10.1109/SciVis.2015.7429492,2548,14,0,174
10.1109/TVCG.2015.2467449,3326,3,0,174
10.1109/TVCG.2015.2467436,4960,0,0,86
10.1109/TVCG.2015.2468093,3855,193,0,174
10.1109/TVCG.2015.2467962,6483,0,0,174
10.1109/SciVis.2015.7429490,2725,450,0,174
10.1109/TVCG.2015.2466838,4569,5,0,80
10.1109/SciVis.2015.7429491,4233,0,0,174
10.1109/TVCG.2015.2468091,3386,10,0,174
10.1109/TVCG.2015.2467435,2896,68,0,174
10.1109/SciVis.2015.7429515,4034,133,0,80
10.1109/TVCG.2015.2467411,3674,41,0,164
10.1109/TVCG.2015.2467433,3644,2,0,174
10.1109/TVCG.2015.2467432,5763,0,0,174
10.1109/TVCG.2015.2467294,2359,409,0,164
10.1109/TVCG.2015.2467958,3320,4,0,174
10.1109/TVCG.2015.2468031,3131,58,0,5
10.1109/TVCG.2015.2467292,3824,0,0,176
10.1109/SciVis.2015.7429508,2949,0,0,5
10.1109/TVCG.2015.2467441,3240,1,0,179
10.1109/TVCG.2015.2467961,2984,361,0,174
10.1109/SciVis.2015.7429503,5455,5,0,164
10.1109/SciVis.2015.7429512,3944,0,0,5
10.1109/TVCG.2015.2467413,2500,7,0,164
10.1109/TVCG.2015.2467293,3135,0,0,174
10.1109/SciVis.2015.7429489,3086,2,0,164
10.1109/TVCG.2015.2467291,3601,984,0,174
10.1109/TVCG.2015.2467200,4064,5,0,174
10.1109/TVCG.2015.2467204,4543,48,0,174
10.1109/TVCG.2015.2467194,3020,439,0,91
10.1109/SciVis.2015.7429486,3124,0,0,5
10.1109/SciVis.2015.7429487,5040,36,0,174
10.1109/TVCG.2015.2467952,3824,333,0,86
10.1109/TVCG.2015.2467153,2664,839,0,174
10.1109/SciVis.2015.7429513,4976,0,0,174
10.1109/SciVis.2015.7429506,4021,0,0,164
10.1109/TVCG.2015.2467031,2833,154,0,174
10.1109/TVCG.2015.2467613,2317,1912,0,174
10.1109/VAST.2015.7347674,3185,233,0,91
10.1109/VAST.2015.7347677,5238,0,0,86
10.1109/TVCG.2015.2467554,3612,2,0,164
10.1109/TVCG.2015.2467813,3741,4,0,91
10.1109/TVCG.2015.2467551,2313,447,0,174
10.1109/TVCG.2015.2467621,3582,176,0,118
10.1109/VAST.2015.7347627,2435,66,0,164
10.1109/VAST.2015.7347634,3935,2,0,164
10.1109/VAST.2015.7347631,3130,8,0,164
10.1109/VAST.2015.7347632,2720,0,0,164
10.1109/TVCG.2015.2468151,3165,20,0,91
10.1109/VAST.2015.7347687,3144,0,0,174
10.1109/TVCG.2015.2467991,4017,0,0,164
10.1109/VAST.2015.7347637,5001,0,0,186
10.1109/VAST.2015.7347628,3923,0,0,5
10.1109/VAST.2015.7347633,3029,41,0,91
10.1109/VAST.2015.7347675,3163,0,0,174
10.1109/VAST.2015.7347626,3818,12,0,91
10.1109/VAST.2015.7347676,5637,0,0,174
10.1109/TVCG.2015.2467619,4503,110,0,164
10.1109/TVCG.2015.2467620,3638,12,0,91
10.1109/VAST.2015.7347635,3571,115,0,174
10.1109/TVCG.2015.2467615,3751,2,0,174
10.1109/VAST.2015.7347630,4090,0,0,118
10.1109/TVCG.2015.2468011,3217,1,0,174
10.1109/VAST.2015.7347625,3491,5,0,174
10.1109/TVCG.2015.2468111,2935,977,0,118
10.1109/TVCG.2015.2468292,2546,0,0,174
10.1109/TVCG.2015.2467733,3143,0,0,174
10.1109/TVCG.2015.2468078,2818,102,0,174
10.1109/TVCG.2015.2467611,3825,0,0,174
10.1109/VAST.2015.7347684,3880,33,0,125
10.1109/VAST.2015.7347673,4713,7,0,174
10.1109/VAST.2015.7347629,3128,453,0,91
10.1109/TVCG.2015.2467622,3731,0,0,165
10.1109/TVCG.2015.2467196,3085,4,0,164
10.1109/TVCG.2015.2467618,3804,0,0,164
10.1109/VAST.2015.7347683,2860,0,0,164
10.1109/TVCG.2015.2467553,4871,0,0,87
10.1109/TVCG.2015.2467552,4263,105,0,91
10.1109/TVCG.2015.2467591,2883,273,0,91
10.1109/TVCG.2015.2467931,5493,2,0,174
10.1109/TVCG.2015.2467531,3282,57,0,185
10.1109/VAST.2015.7347682,3939,0,0,5
10.1109/VAST.2015.7347681,2831,0,0,164
10.1109/TVCG.2015.2467771,4399,5,0,91
10.1109/VAST.2015.7347688,3135,0,0,5
10.1109/VAST.2015.7347686,4483,0,0,174
10.1109/VAST.2015.7347636,2934,0,0,164
10.1109/VAST.2015.7347680,2874,0,0,164
10.1109/TVCG.2015.2467871,2778,530,0,91
10.1109/TVCG.2015.2467971,2986,58,0,91
10.1109/TVCG.2015.2467954,2181,3014,0,174
10.1109/TVCG.2015.2467555,2501,1128,0,91
10.1109/TVCG.2015.2467757,3677,83,0,118
10.1109/VAST.2015.7347679,4760,0,0,164
10.1109/TVCG.2015.2467612,2985,2,0,174
10.1109/VAST.2015.7347678,3382,40,0,91
10.1109/VAST.2015.7347689,4708,5,0,164
10.1109/VAST.2015.7347685,6011,0,0,164
10.1109/VAST.2015.7347671,3339,0,0,5
10.1109/VAST.2015.7347672,3693,4,0,91
10.1109/TVCG.2015.2467592,3114,289,0,86
10.1109/VAST.2015.7347624,3086,8,0,164
10.1109/TVCG.2014.2346984,3198,9,0,174
10.1109/TVCG.2014.2352953,3313,2,0,174
10.1109/TVCG.2014.2346325,2419,86,0,174
10.1109/TVCG.2014.2346265,3298,151,0,87
10.1109/TVCG.2014.2346258,3448,1,0,5
10.1109/TVCG.2014.2346456,3426,16,0,174
10.1109/TVCG.2014.2346420,2919,182,0,174
10.1109/TVCG.2014.2346292,3594,9,0,5
10.1109/TVCG.2014.2346331,2035,9407,0,164
10.1109/TVCG.2014.2346250,2657,567,0,174
10.1109/TVCG.2014.2346260,2886,136,0,179
10.1109/TVCG.2014.2346437,3722,0,0,5
10.1109/TVCG.2014.2346298,3180,62,0,174
10.1109/TVCG.2014.2346435,3050,11,0,174
10.1109/TVCG.2014.2346320,3620,298,0,5
10.1109/TVCG.2014.2346444,3235,6,0,174
10.1109/TVCG.2014.2346433,3830,0,0,91
10.1109/TVCG.2014.2346291,2487,826,0,174
10.1109/TVCG.2014.2346978,1973,9867,0,174
10.1109/TVCG.2014.2346454,2880,131,0,164
10.1109/TVCG.2014.2346311,2682,373,0,174
10.1109/TVCG.2014.2346323,2264,1063,0,91
10.1109/TVCG.2014.2346441,2824,298,0,174
10.1109/TVCG.2014.2346312,3080,335,0,179
10.1109/TVCG.2014.2346276,4889,0,0,91
10.1109/TVCG.2014.2346422,3684,8,0,174
10.1109/TVCG.2014.2346249,2311,1321,0,174
10.1109/TVCG.2014.2346428,3493,7,0,174
10.1109/TVCG.2014.2346271,3967,0,0,118
10.1109/TVCG.2014.2346431,2742,378,0,164
10.1109/TVCG.2014.2346293,2693,389,0,174
10.1109/TVCG.2014.2346979,2313,273,0,174
10.1109/TVCG.2014.2346998,2964,0,0,174
10.1109/TVCG.2014.2346279,2181,1184,0,174
10.1109/TVCG.2014.2346274,2939,85,0,174
10.1109/TVCG.2014.2346445,3731,196,0,174
10.1109/TVCG.2014.2346452,2439,120,0,174
10.1109/TVCG.2014.2346426,2901,557,0,174
10.1109/TVCG.2014.2346424,4480,0,0,174
10.1109/TVCG.2014.2346419,3001,18,0,174
10.1109/TVCG.2014.2346983,2824,190,0,164
10.1109/TVCG.2014.2346277,5598,0,0,164
10.1109/TVCG.2014.2346248,2321,1280,0,179
