source,target,distance,label
0,5,6,1
0,18,12,1
0,32,20,0
0,40,12,1
0,68,20,0
0,77,20,0
0,87,20,0
0,98,20,0
0,160,2,1
0,164,20,0
0,167,12,1
0,174,20,0
0,196,20,0
1,5,10,1
1,6,12,0
1,15,12,0
1,16,20,0
1,32,20,0
1,54,12,0
1,68,20,0
1,77,20,0
1,96,12,0
1,97,20,0
1,98,20,0
1,108,20,0
1,111,20,0
1,115,20,0
1,118,20,0
1,134,20,0
1,144,12,0
1,164,20,0
1,166,20,0
1,174,12,0
1,187,12,0
1,189,12,0
1,170,12,1
2,5,10,1
2,9,20,0
2,11,20,0
2,17,5,0
2,27,20,0
2,32,20,0
2,40,20,1
2,50,12,0
2,57,20,0
2,68,20,0
2,69,20,0
2,77,20,0
2,80,20,0
2,87,20,0
2,91,20,0
2,98,10,0
2,103,20,0
2,105,20,0
2,144,20,0
2,157,5,0
2,158,20,0
2,164,20,0
2,167,20,1
2,168,20,0
2,170,6,1
2,174,10,0
2,181,20,0
2,184,20,0
2,187,20,0
2,192,20,0
2,193,20,0
2,195,20,0
2,196,10,0
2,163,12,1
3,10,20,0
3,162,20,0
3,164,20,0
3,182,20,0
3,193,10,0
3,195,20,0
3,181,12,0
3,6,12,0
3,98,12,0
3,158,12,0
3,198,10,0
4,5,10,0
4,6,12,1
4,8,20,1
4,14,20,1
4,15,12,1
4,23,20,0
4,28,20,0
4,32,20,0
4,37,20,1
4,54,12,1
4,68,20,0
4,77,20,0
4,96,12,1
4,98,20,0
4,126,20,0
4,144,12,1
4,164,10,0
4,165,20,1
4,168,20,1
4,171,20,1
4,174,7,1
4,182,20,1
4,187,12,1
4,189,12,1
4,196,20,0
5,0,6,1
5,1,10,1
5,2,10,1
5,4,10,0
5,6,7,0
5,7,20,0
5,8,10,0
5,9,10,0
5,11,10,0
5,12,20,0
5,13,20,0
5,14,20,0
5,15,5,0
5,16,6,0
5,17,10,0
5,18,6,1
5,19,10,0
5,20,10,0
5,21,10,0
5,22,3,0
5,24,10,0
5,26,10,1
5,27,10,0
5,28,20,0
5,29,6,0
5,30,10,0
5,31,20,0
5,32,6,0
5,33,10,1
5,34,5,0
5,35,10,0
5,36,6,0
5,37,10,0
5,38,20,0
5,39,20,0
5,40,10,1
5,41,7,0
5,42,20,0
5,43,20,0
5,44,20,0
5,45,20,0
5,46,4,0
5,47,20,0
5,48,10,0
5,49,20,1
5,50,7,0
5,51,20,0
5,52,20,0
5,54,5,0
5,55,10,0
5,56,20,0
5,57,20,0
5,59,10,0
5,60,20,0
5,61,20,0
5,62,10,0
5,63,10,0
5,64,12,0
5,66,20,0
5,68,3,0
5,70,6,1
5,72,5,1
5,73,10,0
5,74,6,0
5,75,20,0
5,76,10,1
5,77,6,0
5,78,6,0
5,79,20,0
5,80,20,0
5,83,10,0
5,84,6,1
5,85,20,0
5,86,20,0
5,87,10,0
5,89,20,0
5,90,5,0
5,91,3,0
5,93,20,0
5,94,10,0
5,95,10,0
5,96,5,0
5,97,10,0
5,98,5,0
5,99,20,0
5,100,20,0
5,101,5,0
5,102,20,0
5,103,7,0
5,104,20,0
5,105,20,0
5,106,10,1
5,107,20,0
5,108,10,0
5,110,20,0
5,112,20,0
5,113,10,0
5,114,20,0
5,116,10,0
5,117,10,0
5,118,6,0
5,119,3,0
5,120,20,0
5,121,5,0
5,122,20,0
5,123,20,0
5,125,20,0
5,126,20,0
5,127,6,0
5,128,20,0
5,129,7,0
5,130,20,0
5,131,20,0
5,132,20,0
5,135,10,1
5,136,6,0
5,138,6,1
5,139,20,0
5,140,6,0
5,141,7,0
5,142,10,0
5,144,4,0
5,145,10,0
5,146,20,0
5,147,20,0
5,148,20,0
5,152,7,1
5,154,20,0
5,155,7,0
5,156,10,0
5,157,10,0
5,158,10,0
5,159,20,0
5,160,20,1
5,161,20,0
5,162,20,0
5,163,10,1
5,164,5,0
5,165,10,0
5,166,10,0
5,167,10,1
5,168,10,0
5,169,10,0
5,170,10,1
5,171,20,0
5,172,10,0
5,173,6,0
5,174,3,0
5,175,5,0
5,176,10,0
5,177,3,0
5,179,6,0
5,181,10,0
5,182,2,0
5,183,20,0
5,185,6,0
5,186,4,0
5,187,5,0
5,188,20,0
5,189,5,0
5,190,20,0
5,191,10,0
5,192,3,0
5,193,10,0
5,195,20,0
5,196,5,0
5,197,20,0
5,198,2,0
6,1,12,0
6,4,12,1
6,5,7,0
6,8,12,1
6,9,12,1
6,12,20,0
6,14,12,1
6,15,3,1
6,17,7,1
6,18,20,0
6,22,12,1
6,27,12,1
6,29,12,1
6,30,12,1
6,32,20,0
6,37,12,1
6,43,12,1
6,46,20,1
6,54,5,1
6,55,12,1
6,57,12,1
6,59,12,1
6,61,12,1
6,62,12,1
6,63,12,1
6,66,12,1
6,68,20,0
6,69,12,1
6,74,12,1
6,77,7,0
6,78,12,1
6,79,12,0
6,80,12,1
6,81,12,1
6,87,7,1
6,91,12,1
6,96,3,1
6,98,20,0
6,108,20,1
6,116,12,1
6,118,20,0
6,119,20,1
6,120,12,1
6,144,3,1
6,156,12,1
6,157,12,1
6,158,12,1
6,162,12,1
6,164,7,0
6,165,12,1
6,166,20,0
6,169,12,1
6,173,12,1
6,174,6,1
6,176,12,1
6,181,20,1
6,182,12,1
6,184,20,0
6,187,3,1
6,189,6,1
6,191,12,1
6,195,12,1
6,196,20,0
6,198,12,0
6,3,12,0
6,102,6,0
6,83,12,0
6,107,12,0
7,5,20,0
7,32,20,0
7,51,12,0
7,68,20,0
7,77,20,0
7,98,20,0
7,164,20,0
7,198,20,0
7,37,12,0
7,170,6,0
8,4,20,1
8,5,10,0
8,6,12,1
8,10,20,0
8,15,12,1
8,21,10,0
8,22,10,1
8,32,20,0
8,54,12,1
8,68,20,0
8,77,10,0
8,96,12,1
8,98,20,0
8,125,12,0
8,144,12,1
8,161,10,1
8,164,20,0
8,167,20,0
8,169,10,1
8,174,7,1
8,176,10,1
8,187,12,1
8,189,12,1
8,11,12,0
8,31,12,0
8,73,12,0
8,166,12,0
8,179,12,0
8,198,12,0
9,2,20,0
9,5,10,0
9,6,12,1
9,15,12,1
9,17,20,1
9,32,20,0
9,54,12,1
9,68,20,0
9,77,20,0
9,96,12,1
9,98,20,0
9,144,12,1
9,164,6,0
9,174,3,1
9,184,20,0
9,187,3,1
9,188,20,1
9,189,12,1
9,193,20,1
9,22,12,1
